JW32_TP016.npy Masking [7, 5] results in correlation (0.304, 0.799) for AF 7 
JW32_TP016.npy Masking [0, 1, 5] results in correlation (0.174, 0.332) for AF 0 
JW32_TP016.npy Masking [0, 1, 5] results in correlation (0.423, 0.897) for AF 1 
JW32_TP016.npy Masking [0, 6, 5] results in correlation (0.779, 0.657) for AF 0 
JW32_TP016.npy Masking [0, 7, 5] results in correlation (0.839, 0.668) for AF 0 
JW32_TP016.npy Masking [0, 7, 5] results in correlation (0.299, 0.788) for AF 7 
JW32_TP016.npy Masking [1, 3, 5] results in correlation (0.686, 0.929) for AF 1 
JW32_TP016.npy Masking [1, 6, 5] results in correlation (0.407, 0.975) for AF 6 
JW32_TP016.npy Masking [1, 7, 5] results in correlation (0.424, 0.739) for AF 7 
JW32_TP016.npy Masking [2, 7, 5] results in correlation (0.414, 0.867) for AF 7 
JW32_TP016.npy Masking [3, 4, 5] results in correlation (0.613, -0.770) for AF 4 
JW32_TP016.npy Masking [3, 7, 5] results in correlation (0.338, 0.804) for AF 7 
JW32_TP016.npy Masking [4, 7, 5] results in correlation (0.488, 0.829) for AF 7 
JW32_TP016.npy Masking [6, 7, 5] results in correlation (0.185, 0.826) for AF 6 
JW32_TP016.npy Masking [6, 7, 5] results in correlation (0.443, 0.686) for AF 7 
JW32_TP001.npy Masking [5, 4] results in correlation (0.852, 0.555) for AF 5 
JW32_TP001.npy Masking [7, 4] results in correlation (0.224, 0.553) for AF 7 
JW32_TP001.npy Masking [0, 1, 4] results in correlation (0.157, 0.322) for AF 0 
JW32_TP001.npy Masking [0, 1, 4] results in correlation (0.518, 0.876) for AF 1 
JW32_TP001.npy Masking [0, 2, 4] results in correlation (0.660, 0.774) for AF 0 
JW32_TP001.npy Masking [0, 5, 4] results in correlation (0.546, 0.705) for AF 0 
JW32_TP001.npy Masking [0, 5, 4] results in correlation (0.837, 0.531) for AF 5 
JW32_TP001.npy Masking [0, 6, 4] results in correlation (0.659, 0.788) for AF 0 
JW32_TP001.npy Masking [0, 7, 4] results in correlation (0.675, 0.755) for AF 0 
JW32_TP001.npy Masking [0, 7, 4] results in correlation (0.302, 0.766) for AF 7 
JW32_TP001.npy Masking [1, 5, 4] results in correlation (0.861, 0.585) for AF 5 
JW32_TP001.npy Masking [1, 6, 4] results in correlation (0.424, 0.967) for AF 6 
JW32_TP001.npy Masking [1, 7, 4] results in correlation (0.307, 0.519) for AF 7 
JW32_TP001.npy Masking [2, 3, 4] results in correlation (0.642, 0.436) for AF 2 
JW32_TP001.npy Masking [2, 3, 4] results in correlation (0.705, 0.411) for AF 3 
JW32_TP001.npy Masking [2, 5, 4] results in correlation (0.809, 0.451) for AF 5 
JW32_TP001.npy Masking [2, 7, 4] results in correlation (0.148, 0.477) for AF 7 
JW32_TP001.npy Masking [3, 5, 4] results in correlation (0.951, 0.666) for AF 3 
JW32_TP001.npy Masking [3, 5, 4] results in correlation (0.428, 0.581) for AF 5 
JW32_TP001.npy Masking [3, 7, 4] results in correlation (0.305, 0.498) for AF 7 
JW32_TP001.npy Masking [5, 6, 4] results in correlation (0.796, 0.508) for AF 5 
JW32_TP001.npy Masking [5, 6, 4] results in correlation (0.403, 0.963) for AF 6 
JW32_TP001.npy Masking [5, 7, 4] results in correlation (0.849, 0.573) for AF 5 
JW32_TP001.npy Masking [5, 7, 4] results in correlation (0.292, 0.790) for AF 7 
JW32_TP001.npy Masking [6, 7, 4] results in correlation (0.691, 0.877) for AF 6 
JW32_TP001.npy Masking [6, 7, 4] results in correlation (0.134, 0.558) for AF 7 
JW32_TP005.npy Masking [0, 6] results in correlation (0.688, 0.748) for AF 0 
JW32_TP005.npy Masking [7, 6] results in correlation (-0.232, 0.381) for AF 7 
JW32_TP005.npy Masking [0, 1, 6] results in correlation (0.091, 0.433) for AF 0 
JW32_TP005.npy Masking [0, 1, 6] results in correlation (0.180, 0.436) for AF 1 
JW32_TP005.npy Masking [0, 2, 6] results in correlation (0.632, 0.635) for AF 0 
JW32_TP005.npy Masking [0, 3, 6] results in correlation (0.566, 0.740) for AF 0 
JW32_TP005.npy Masking [0, 4, 6] results in correlation (0.581, 0.714) for AF 0 
JW32_TP005.npy Masking [0, 5, 6] results in correlation (0.669, 0.656) for AF 0 
JW32_TP005.npy Masking [0, 7, 6] results in correlation (0.572, 0.635) for AF 0 
JW32_TP005.npy Masking [0, 7, 6] results in correlation (0.009, 0.423) for AF 7 
JW32_TP005.npy Masking [1, 2, 6] results in correlation (0.622, 0.665) for AF 1 
JW32_TP005.npy Masking [1, 5, 6] results in correlation (0.608, 0.606) for AF 1 
JW32_TP005.npy Masking [1, 7, 6] results in correlation (0.614, 0.467) for AF 1 
